"Year","State","FUNGICIDE","INSECTICIDE","(NITROGEN)","HERBICIDE","OTHER","(PHOSPHATE)","(POTASH)"
2019,"CALIFORNIA",8.803,15.286,306.4,0,0,0,0
2019,"WASHINGTON",4.891,3.254,104.4,2.537,2.442,0,0
2017,"OREGON",37.354,5.988,0,11.78,0,0,0
2017,"WASHINGTON",48.986,7.23,0,15.852,0,0,0
2015,"OREGON",32.991,15.138,164.9,12.614,0,49.9,112.2
2015,"WASHINGTON",35.498,13.067,126.1,11.141,0,138.2,140.3
